PLAYER,SALARY ($),SEASON
Ben Wallace,640305,1997-1998
Chris Robinson,636973,1997-1998
Charles O'Bannon,627174,1997-1998
Jerald Honeycutt,587975,1997-1998
Kevin Salvadori,587975,1997-1998
Adrian Caldwell,572785,1997-1998
Jon Barry,534077,1997-1998
Ed Stokes,534077,1997-1998
John Long,534077,1997-1998
Anthony Miller,533587,1997-1998
Chucky Brown,533587,1997-1998
Donald Whiteside,533587,1997-1998
Greg Anderson,533587,1997-1998
Jack Haley,533587,1997-1998
Steve Henson,533587,1997-1998
Corey Beck,533587,1997-1998
Tony Farmer,533587,1997-1998
Joe Kleine,533587,1997-1998
Mitchell Butler,533587,1997-1998
Kevin Ollie,533587,1997-1998
Rumeal Robinson,533587,1997-1998
Carl Thomas,533587,1997-1998
Joe Stephens,533587,1997-1998
Etdrick Bohannon,533587,1997-1998
Ivano Newbill,533587,1997-1998
Eric Murdock,533587,1997-1998
Mark Strickland,533587,1997-1998
Todd Day,533587,1997-1998
Jamie Feick,533587,1997-1998
Tim Breaux,533587,1997-1998
Reggie Jordan,533587,1997-1998
Pete Myers,533587,1997-1998
Ron Grandison,533587,1997-1998
Greg Anthony,533587,1997-1998
Stephen Howard,533587,1997-1998
Tim Kempton,533587,1997-1998
George McCloud,533587,1997-1998
Horacio Llamas Grey,533587,1997-1998
Tom Chambers,533587,1997-1998
Alton Lister,533587,1997-1998
Sean Higgins,533587,1997-1998
Vincent Askew,533587,1997-1998
Jaren Jackson Jr,533587,1997-1998
Malik Rose,533587,1997-1998
Reggie Geary,533587,1997-1998
Darvin Ham,533587,1997-1998
Terry Davis,533587,1997-1998
Jimmy Oliver,533587,1997-1998
DeJuan Wheat,513498,1997-1998
Bubba Wells,509578,1997-1998
Cedric Henderson,489979,1997-1998
Jason Lawson,474790,1997-1998
God Shammgod,474790,1997-1998
Chris Crawford,474300,1997-1998
Travis Williams,474300,1997-1998
Adrian Custis,474300,1997-1998
Eric Washington,474300,1997-1998
Serge Zwikker,474300,1997-1998
Mark Pope,474300,1997-1998
James Collins,474300,1997-1998
Shea Seals,474300,1997-1998
Malcolm Huckaby,474300,1997-1998
Jeff Nordgaard,474300,1997-1998
James Cotton,474300,1997-1998
Kebu Stewart,474300,1997-1998
Marko Milic,474300,1997-1998
Alvin Williams,474300,1997-1998
Anthony Johnson,474300,1997-1998
Michael Stewart,474300,1997-1998
Derek Grimm,474300,1997-1998
Chris Garner,474300,1997-1998
Troy Hudson,474300,1997-1998
Matt Fish,293987,1997-1998
Stacey King,195991,1997-1998
Scott Brooks,97995,1997-1998
Ron Riley,97995,1997-1998
Ruben Nembhard,97995,1997-1998
William Cunningham,97995,1997-1998
Jerome Allen,68597,1997-1998
Ben Davis,48997,1997-1998
Patrick Savoy,48997,1997-1998
Amal McCaskill,40570,1997-1998
Nate Huffman,39198,1997-1998
Todd Lindeman,29398,1997-1998
Patrick Ewing,35657898,1998-1999
Shaquille O'Neal,28911809,1998-1999
David Robinson,28605344,1998-1999
Kevin Garnett,26984355,1998-1999
Alonzo Mourning,25307470,1998-1999
Juwan Howard,25297833,1998-1999
Hakeem Olajuwon,24947036,1998-1999
Derrick Coleman,23644077,1998-1999
Dikembe Mutombo,21622178,1998-1999
Jayson Williams,21201993,1998-1999
Scottie Pippen,21201993,1998-1999
Larry Johnson,19633046,1998-1999
Charles Oakley,19633046,1998-1999
Chris Webber,19274539,1998-1999
Shawn Kemp,18773401,1998-1999
Antonio McDyess,17347085,1998-1999
Arvydas Sabonis,17347085,1998-1999
Damon Stoudamire,17347085,1998-1999
Rasheed Wallace,17347085,1998-1999
Gary Payton,16797761,1998-1999
Anfernee Hardaway,16392996,1998-1999
Rik Smits,16383358,1998-1999
Latrell Sprewell,15997868,1998-1999
Vlade Divac,15997868,1998-1999
Horace Grant,15117021,1998-1999
Tom Gugliotta,15034141,1998-1999
Bryant Reeves,13920072,1998-1999
Elden Campbell,13492177,1998-1999
Allan Houston,13492177,1998-1999
Danny Manning,13170293,1998-1999
Matt Geiger,13106687,1998-1999
Reggie Miller,13070065,1998-1999
Shawn Bradley,13010314,1998-1999
Grant Hill,12865755,1998-1999
Glenn Robinson,12297156,1998-1999
Steve Smith,12142960,1998-1999
Terrell Brandon,12142960,1998-1999
Karl Malone,11838422,1998-1999
Jason Kidd,11643749,1998-1999
Michael Finley,11564723,1998-1999
Theo Ratliff,11564723,1998-1999
Brian Grant,11564723,1998-1999
Kenny Anderson,11265968,1998-1999
Tim Hardaway,10793742,1998-1999
Mark Price,10577867,1998-1999
Christian Laettner,10331153,1998-1999
Tyrone Hill,10315733,1998-1999
Sean Elliott,10279112,1998-1999
Ron Harper,10176957,1998-1999
Glen Rice,10115278,1998-1999
A.C. Green,9878371,1998-1999
Charles Smith,9737926,1998-1999
Jamal Mashburn,9700875,1998-1999
Kendall Gill,9637269,1998-1999
Robert Horry,9637269,1998-1999
Isaac Austin,9637269,1998-1999
Bison Dele,9367426,1998-1999
Isaiah Rider,9271053,1998-1999
Alan Henderson,9107220,1998-1999
Bryant Stith,8993500,1998-1999
Toni Kukoc,8885562,1998-1999
PJ Brown,8634993,1998-1999
Otis Thorpe,8480797,1998-1999
Will Perdue,8428756,1998-1999
Donyell Marshall,8422973,1998-1999
Greg Ostertag,8351658,1998-1999
Chris Gatling,8222518,1998-1999
Vin Baker,8218663,1998-1999
Rony Seikaly,8195534,1998-1999
Brian Shaw,8191678,1998-1999
Lionel Simmons,8169513,1998-1999
Jim McIlvaine,8095306,1998-1999
Wesley Person,8095306,1998-1999
Derrick McKey,8095306,1998-1999
Anthony Mason,8027845,1998-1999
Stojko Vrankovic,7825463,1998-1999
Dale Davis,7783059,1998-1999
Bobby Hurley,7767639,1998-1999
Danny Ferry,7709815,1998-1999
John Starks,7709815,1998-1999
Luc Longley,7709815,1998-1999
Sharone Wright,7709815,1998-1999
John Stockton,7709815,1998-1999
Calbert Cheaney,7709815,1998-1999
Jerry Stackhouse,7492013,1998-1999
Chuck Person,7439971,1998-1999
Loy Vaught,7382148,1998-1999
Robert Pack,7285776,1998-1999
Ken Norman,7276138,1998-1999
Dee Brown,7227952,1998-1999
Jason Caffey,7083393,1998-1999
BJ Armstrong,7035206,1998-1999
Hersey Hawkins,7023642,1998-1999
Chris Childs,7015932,1998-1999
Mookie Blaylock,6938834,1998-1999
Brent Barry,6938834,1998-1999
Chris Mills,6938834,1998-1999
Mark Jackson,6938834,1998-1999
Allen Iverson,6817404,1998-1999
Chris Mullin,6765363,1998-1999
Dana Barros,6746088,1998-1999
Antonio Davis,6746088,1998-1999
Lamond Murray,6746088,1998-1999
Clifford Robinson,6746088,1998-1999
Bobby Phills,6707539,1998-1999
Jeff Hornacek,6659353,1998-1999
Bryon Russell,6607312,1998-1999
Tim Duncan,6578400,1998-1999
Detlef Schrempf,6424204,1998-1999
Scott Williams,6360598,1998-1999
Dan Majerle,6341323,1998-1999
Armen Gilliam,6252660,1998-1999
Nick Anderson,6167852,1998-1999
Stacey Augmon,6167852,1998-1999
Marcus Camby,6098464,1998-1999
Bob Sura,6038713,1998-1999
Andrew Lang,5913428,1998-1999
Keith Van Horn,5886444,1998-1999
Pooh Richardson,5840185,1998-1999
Rodney Rogers,5782361,1998-1999
Sam Cassell,5782361,1998-1999
Derek Strong,5782361,1998-1999
Walt Williams,5782361,1998-1999
Avery Johnson,5782361,1998-1999
Grant Long,5738030,1998-1999
Micheal Williams,5734175,1998-1999
Doug West,5618528,1998-1999
Darrell Armstrong,5589616,1998-1999
Shareef Abdur-Rahim,5477824,1998-1999
Voshon Lenard,5468186,1998-1999
Muggsy Bogues,5396871,1998-1999
Rex Chapman,5396871,1998-1999
Eric Williams,5358322,1998-1999
Travis Best,5300498,1998-1999
Carl Herrera,5286042,1998-1999
Chauncey Billups,5285078,1998-1999
Michael Olowokandi,5204125,1998-1999
Adam Keefe,5107753,1998-1999
Ervin Johnson,4999815,1998-1999
Stephon Marbury,4938137,1998-1999
Greg Minor,4857184,1998-1999
Dino Radja,4818634,1998-1999
Mitch Richmond,4818634,1998-1999
Khalid Reeves,4774302,1998-1999
Antonio Daniels,4764666,1998-1999
Don MacLean,4741536,1998-1999
Pervis Ellison,4664438,1998-1999
Tyrone Corbin,4625889,1998-1999
Travis Knight,4625889,1998-1999
Mike Bibby,4625889,1998-1999
Popeye Jones,4589267,1998-1999
Tracy Murray,4587340,1998-1999
Doug Christie,4535299,1998-1999
Michael Cage,4529516,1998-1999
James Robinson,4505423,1998-1999
Ray Allen,4471693,1998-1999
Anthony Peeler,4344481,1998-1999
Brent Price,4317496,1998-1999
Tony Battie,4313642,1998-1999
Eddie Jones,4240398,1998-1999
Sherman Douglas,4240398,1998-1999
Michael Smith,4201849,1998-1999
Corie Blount,4168118,1998-1999
Rex Walters,4168118,1998-1999
David Wesley,4163300,1998-1999
Dean Garrett,4163300,1998-1999
Raef LaFrentz,4144026,1998-1999
Jalen Rose,4134388,1998-1999
Antoine Walker,4061145,1998-1999
Mark Strickland,4047653,1998-1999
Kevin Willis,4047653,1998-1999
Mark Bryant,3951280,1998-1999
Lindsey Hunter,3951280,1998-1999
Haywoode Workman,3932005,1998-1999
Ron Mercer,3918513,1998-1999
Elliot Perry,3854907,1998-1999
Bimbo Coles,3854907,1998-1999
Cherokee Parks,3854907,1998-1999
Gerald Wilkins,3854907,1998-1999
Carlos Rogers,3854907,1998-1999
Antawn Jamison,3739260,1998-1999
Lorenzen Wright,3706494,1998-1999
Erick Strickland,3700711,1998-1999
Nick Van Exel,3662162,1998-1999
Tim Thomas,3577354,1998-1999
Sam Perkins,3440505,1998-1999
Steve Kerr,3419303,1998-1999
Kerry Kittles,3396173,1998-1999
Eric Montross,3392319,1998-1999
Vince Carter,3392319,1998-1999
LaPhonso Ellis,3373044,1998-1999
Eric Murdock,3373044,1998-1999
John Williams,3373044,1998-1999
Rick Fox,3373044,1998-1999
Clarence Weatherspoon,3373044,1998-1999
Vinny Del Negro,3373044,1998-1999
Joe Smith,3373044,1998-1999
Kurt Thomas,3373044,1998-1999
Billy Owens,3373044,1998-1999
Dale Ellis,3373044,1998-1999
Jim Jackson,3373044,1998-1999
Mario Elie,3373044,1998-1999
Terry Davis,3373044,1998-1999
Dennis Scott,3324857,1998-1999
Adonal Foyle,3278599,1998-1999
Lucious Harris,3238122,1998-1999
Sean Rooks,3238122,1998-1999
Buck Williams,3218848,1998-1999
Yinka Dare,3193791,1998-1999
Felton Spencer,3180299,1998-1999
Eric Piatkowski,3180299,1998-1999
Kevin Gamble,3170661,1998-1999
Doug Edwards,3132112,1998-1999
Samaki Walker,3122244,1998-1999
Robert Traylor,3064651,1998-1999
Tracy McGrady,3012610,1998-1999
Bill Curley,2975988,1998-1999
Lee Mayberry,2968279,1998-1999
Erick Dampier,2964424,1998-1999
Danny Fortson,2862269,1998-1999
Dirk Nowitzki,2838445,1998-1999
Todd Fuller,2816010,1998-1999
Jason Williams,2814082,1998-1999
Duane Causwell,2802518,1998-1999
Andrew DeClercq,2775533,1998-1999
Keith Closs,2775533,1998-1999
Chris Whitney,2775533,1998-1999
Duane Ferrell,2756259,1998-1999
Aaron McKie,2756259,1998-1999
Tariq Abdul-Wahad,2719637,1998-1999
B.J. Tyler,2719637,1998-1999
Howard Eisley,2698435,1998-1999
Austin Croshere,2582788,1998-1999
Vitaly Potapenko,2580860,1998-1999
Larry Hughes,2563513,1998-1999
Randy Brown,2544239,1998-1999
Tim Legler,2544239,1998-1999
Kobe Bryant,2542311,1998-1999
Lorenzo Williams,2536529,1998-1999
Shandon Anderson,2505690,1998-1999
Scot Pollard,2488188,1998-1999
Derek Anderson,2453648,1998-1999
Charlie Ward,2353421,1998-1999
Maurice Taylor,2330291,1998-1999
Steve Nash,2295135,1998-1999
Paul Pierce,2245483,1998-1999
Terry Cummings,2216572,1998-1999
Bo Outlaw,2216572,1998-1999
Kelvin Cato,2214644,1998-1999
Terry Mills,2206934,1998-1999
Tony Delk,2179950,1998-1999
Terry Dehere,2144292,1998-1999
John Crotty,2127908,1998-1999
Bonzi Wells,2120199,1998-1999
Brevin Knight,2104779,1998-1999
Jermaine O'Neal,2072013,1998-1999
Michael Doleac,2023826,1998-1999
Johnny Taylor,1998769,1998-1999
John Wallace,1967930,1998-1999
Anthony Johnson,1927453,1998-1999
Mark West,1927453,1998-1999
Chris Carr,1927453,1998-1999
Scott Burrell,1927453,1998-1999
Joe Wolf,1927453,1998-1999
Bill Wennington,1927453,1998-1999
Johnny Newman,1927453,1998-1999
Gary Trent,1927453,1998-1999
Keon Clark,1927453,1998-1999
Joe Dumars,1927453,1998-1999
Charles Barkley,1927453,1998-1999
Dennis Rodman,1927453,1998-1999
Derek Harper,1927453,1998-1999
Terry Porter,1927453,1998-1999
Dell Curry,1927453,1998-1999
Malik Sealy,1927453,1998-1999
David Wingate,1927453,1998-1999
Herb Williams,1927453,1998-1999
Olden Polynice,1927453,1998-1999
Danny Schayes,1927453,1998-1999
Dominique Wilkins,1927453,1998-1999
George Lynch,1927453,1998-1999
Harvey Grant,1927453,1998-1999
Rick Mahorn,1927453,1998-1999
Joe Kleine,1927453,1998-1999
Chris Morris,1927453,1998-1999
Gary Grant,1927453,1998-1999
Greg Anthony,1927453,1998-1999
Vernon Maxwell,1927453,1998-1999
Jerome Kersey,1927453,1998-1999
Michael Stewart,1927453,1998-1999
Chris Anstey,1898927,1998-1999
Walter McCarty,1879267,1998-1999
Dontae' Jones,1838513,1998-1999
Michael Dickerson,1830310,1998-1999
Zydrunas Ilgauskas,1804096,1998-1999
Paul Grant,1740953,1998-1999
Tony Massenburg,1734708,1998-1999
Matt Harpring,1734708,1998-1999
Anthony Parker,1671333,1998-1999
Randolph Childress,1669791,1998-1999
Roy Rogers,1662544,1998-1999
Bryce Drew,1651828,1998-1999
Chucky Brown,1638335,1998-1999
Jud Buechler,1638335,1998-1999
Blue Edwards,1638335,1998-1999
Thurl Bailey,1638335,1998-1999
Eric Snow,1631204,1998-1999
Ed Gray,1604489,1998-1999
Don Reid,1541963,1998-1999
Ben Wallace,1541963,1998-1999
Bobby Jackson,1540421,1998-1999
Derek Fisher,1532325,1998-1999
J.R. Reid,1503414,1998-1999
Radoslav Nesterovic,1495222,1998-1999
Martin Muursepp,1471032,1998-1999
Cedric Ceballos,1445590,1998-1999
George McCloud,1445590,1998-1999
Roshown McLeod,1426315,1998-1999
Pat Garrity,1426315,1998-1999
Mirsad Turkcan,1425159,1998-1999
Jerome Williams,1422229,1998-1999
John Thomas,1420533,1998-1999
Keith Askins,1397404,1998-1999
Priest Lauderdale,1372732,1998-1999
Pete Chilcutt,1349217,1998-1999
Jacque Vaughn,1332950,1998-1999
Keith Booth,1324623,1998-1999
Brian Evans,1323736,1998-1999
Ricky Davis,1310668,1998-1999
Dwayne Schintzius,1276938,1998-1999
Marty Conlon,1276938,1998-1999
Brian Skinner,1259591,1998-1999
Hubert Davis,1243207,1998-1999
Rodrick Rhodes,1232221,1998-1999
Ruben Patterson,1211404,1998-1999
Fred Hoiberg,1156472,1998-1999
Felipe Lopez,1156472,1998-1999
Doug Overton,1156472,1998-1999
Jon Barry,1156472,1998-1999
Oliver Miller,1156472,1998-1999
Greg Foster,1133342,1998-1999
Aaron Williams,1108286,1998-1999
Lawrence Funderburke,1108286,1998-1999
Sam Jacobson,1077446,1998-1999
Michael Curry,1060099,1998-1999
Sam Mack,1050462,1998-1999
Al Harrington,1046607,1998-1999
Vladimir Stepania,1046607,1998-1999
Corey Benjamin,1040825,1998-1999
Eric Riley,1036006,1998-1999
Charles Shackleford,1036006,1998-1999
Mitchell Butler,1036006,1998-1999
Negele Knight,1036006,1998-1999
Nazr Mohammed,1031187,1998-1999
Eric Washington,1002276,1998-1999
Bruce Bowen,977219,1998-1999
Craig Ehlo,971594,1998-1999
Marcus Brown,963726,1998-1999
Corliss Williamson,963726,1998-1999
Gheorghe Muresan,915540,1998-1999
Jeff Sanders,915540,1998-1999
Anthony Miller,915540,1998-1999
David Vaughn,867354,1998-1999
Loren Meyer,867354,1998-1999
Jamie Feick,819167,1998-1999
Mark Hendrickson,819167,1998-1999
Corey Beck,819167,1998-1999
Ben Davis,819167,1998-1999
Horacio Llamas Grey,819167,1998-1999
Malik Rose,819167,1998-1999
Reggie Slater,770981,1998-1999
Mark Pope,736287,1998-1999
Chris Robinson,722795,1998-1999
Chris Crawford,674608,1998-1999
William Cunningham,674608,1998-1999
Rusty Larue,674608,1998-1999
DeJuan Wheat,674608,1998-1999
Adonis Jordan,674608,1998-1999
Rick Brunson,674608,1998-1999
Moochie Norris,674608,1998-1999
Drew Barry,674608,1998-1999
Marko Milic,674608,1998-1999
Michael Hawkins,674608,1998-1999
Andrew Gaze,674608,1998-1999
Jeff McInnis,674608,1998-1999
John Coker,674608,1998-1999
Charles O'Bannon,616785,1998-1999
Bubba Wells,601365,1998-1999
Jerald Honeycutt,578236,1998-1999
Jeffrey Sheppard,554143,1998-1999
Damon Jones,554143,1998-1999
Marlon Garnett,554143,1998-1999
Brad Miller,554143,1998-1999
Kornel David,554143,1998-1999
Charles Jones,554143,1998-1999
Cory Carr,554143,1998-1999
Earl Boykins,554143,1998-1999
Ryan Stack,554143,1998-1999
Ansu Sesay,554143,1998-1999
Bruno Sundov,554143,1998-1999
Kelly McCarty,554143,1998-1999
Korleone Young,554143,1998-1999
Cuttino Mobley,554143,1998-1999
Mate Skelin,554143,1998-1999
Troy Hudson,554143,1998-1999
Tyrone Nesby,554143,1998-1999
Tyronn Lue,554143,1998-1999
J.R. Henderson,554143,1998-1999
Makhtar N'Diaye,554143,1998-1999
Andrae Patterson,554143,1998-1999
Trevor Winter,554143,1998-1999
Jelani McCoy,554143,1998-1999
Rashard Lewis,554143,1998-1999
Jonathan Kerner,554143,1998-1999
Miles Simon,554143,1998-1999
Casey Shaw,554143,1998-1999
Randy Livingston,554143,1998-1999
Gerald Brown,554143,1998-1999
Toby Bailey,554143,1998-1999
Nikita Morgunov,554143,1998-1999
Jerome James,554143,1998-1999
Gerard King,554143,1998-1999
Brandon Williams,554143,1998-1999
Sean Marks,554143,1998-1999
Paul Rogers,554143,1998-1999
Randell Jackson,554143,1998-1999
Shaquille O'Neal,32405880,1999-2000
Kevin Garnett,31769670,1999-2000
Alonzo Mourning,28364218,1999-2000
Patrick Ewing,28355144,1999-2000
Juwan Howard,28355144,1999-2000
Scottie Pippen,27968837,1999-2000
Hakeem Olajuwon,27035686,1999-2000
Karl Malone,26464801,1999-2000
Dikembe Mutombo,24234667,1999-2000
Jayson Williams,23392994,1999-2000
Rik Smits,23156701,1999-2000
Larry Johnson,22515334,1999-2000
David Robinson,21914146,1999-2000
Gary Payton,20832473,1999-2000
Chris Webber,20793772,1999-2000
John Stockton,20793772,1999-2000
Rasheed Wallace,20415703,1999-2000
Shawn Kemp,20377897,1999-2000
Damon Stoudamire,19139722,1999-2000
Mitch Richmond,18903429,1999-2000
Rod Strickland,18903429,1999-2000
Antonio McDyess,18714395,1999-2000
Arvydas Sabonis,18560296,1999-2000
Reggie Miller,17073294,1999-2000
Antoine Walker,17013086,1999-2000
Stephon Marbury,17013086,1999-2000
Zydrunas Ilgauskas,17013086,1999-2000
Charles Barkley,17013086,1999-2000
Kobe Bryant,17013086,1999-2000
Shareef Abdur-Rahim,17013086,1999-2000
Ray Allen,17013086,1999-2000
Latrell Sprewell,17013086,1999-2000
Vin Baker,17013086,1999-2000
Allen Iverson,17013086,1999-2000
Anfernee Hardaway,17013086,1999-2000
Vlade Divac,16706423,1999-2000
Bryant Reeves,16382971,1999-2000
Tom Gugliotta,16178566,1999-2000
Nick Van Exel,15793085,1999-2000
Allan Houston,15122743,1999-2000
Elden Campbell,15075485,1999-2000
Brian Grant,14519463,1999-2000
Shawn Bradley,14290992,1999-2000
Terrell Brandon,13988537,1999-2000
Derrick Coleman,13931827,1999-2000
Glenn Robinson,13704986,1999-2000
Michael Finley,13610469,1999-2000
Steve Smith,13610469,1999-2000
Kerry Kittles,13547456,1999-2000
Chris Dudley,13421435,1999-2000
Theo Ratliff,13291473,1999-2000
Glen Rice,13232400,1999-2000
Grant Hill,13117089,1999-2000
Matt Geiger,13023555,1999-2000
Jason Kidd,12964605,1999-2000
Danny Manning,12917342,1999-2000
Kenny Anderson,12627490,1999-2000
Tyrone Hill,12140538,1999-2000
Clifford Robinson,11578350,1999-2000
Christian Laettner,11460204,1999-2000
Horace Grant,11252041,1999-2000
Bison Dele,10907278,1999-2000
Kendall Gill,10585920,1999-2000
Jamal Mashburn,10585920,1999-2000
Steve Nash,10396886,1999-2000
Sean Elliott,10270862,1999-2000
Isaiah Rider,10226755,1999-2000
Alan Henderson,10053669,1999-2000
Will Perdue,10018817,1999-2000
Bryant Stith,9999914,1999-2000
Donyell Marshall,9924300,1999-2000
Marcus Camby,9924300,1999-2000
Charles Oakley,9897835,1999-2000
Greg Ostertag,9829783,1999-2000
Jeff Hornacek,9829783,1999-2000
Luc Longley,9782524,1999-2000
PJ Brown,9687629,1999-2000
Jermaine O'Neal,9593490,1999-2000
Nick Anderson,9549834,1999-2000
Erick Dampier,9429030,1999-2000
Wesley Person,9262680,1999-2000
Chris Gatling,9215800,1999-2000
Anthony Mason,9187255,1999-2000
Isaac Austin,9110415,1999-2000
Jim McIlvaine,9073646,1999-2000
Derrick McKey,9073646,1999-2000
Robert Horry,9073646,1999-2000
Tim Hardaway,9073646,1999-2000
Jerry Stackhouse,9038202,1999-2000
Charlie Ward,8582157,1999-2000
Toni Kukoc,8506543,1999-2000
Dale Davis,8487639,1999-2000
Lorenzen Wright,8317509,1999-2000
Chris Mills,7939440,1999-2000
Mookie Blaylock,7939440,1999-2000
Antonio Davis,7939440,1999-2000
Loy Vaught,7901633,1999-2000
Hersey Hawkins,7871577,1999-2000
Chris Childs,7863826,1999-2000
Darrell Armstrong,7797664,1999-2000
Chris Mullin,7710897,1999-2000
Bobby Phills,7674792,1999-2000
Robert Pack,7655888,1999-2000
Armen Gilliam,7597666,1999-2000
John Starks,7561371,1999-2000
Danny Ferry,7561371,1999-2000
Mark Jackson,7561371,1999-2000
Dee Brown,7561371,1999-2000
Bryon Russell,7561371,1999-2000
Stacey Augmon,7485757,1999-2000
Brent Barry,7485758,1999-2000
Jason Caffey,7443225,1999-2000
Tim Duncan,7293396,1999-2000
Vitaly Potapenko,7202206,1999-2000
Bob Sura,7107689,1999-2000
Walt Williams,7088786,1999-2000
Scott Williams,7088786,1999-2000
Michael Smith,6918654,1999-2000
Dan Majerle,6805234,1999-2000
Corliss Williamson,6729620,1999-2000
Dana Barros,6616200,1999-2000
Cedric Ceballos,6616200,1999-2000
Sam Cassell,6616200,1999-2000
Michael Olowokandi,6533478,1999-2000
Keith Van Horn,6525312,1999-2000
Elton Brand,6381722,1999-2000
Eric Williams,6306184,1999-2000
Voshon Lenard,6254229,1999-2000
Doug West,6228680,1999-2000
Travis Best,6143614,1999-2000
Avery Johnson,6049097,1999-2000
Michael Stewart,6049097,1999-2000
Derek Strong,5971593,1999-2000
Rex Chapman,5954580,1999-2000
Chauncey Billups,5860214,1999-2000
Mike Bibby,5845696,1999-2000
Rick Fox,5733410,1999-2000
Steve Francis,5709818,1999-2000
Lamond Murray,5671028,1999-2000
Derek Fisher,5671028,1999-2000
Gerald Wilkins,5671028,1999-2000
Eric Snow,5671028,1999-2000
